!
! 01-JUL-2019 22:53:53
! Input file  : spectraOdp.30m
! Input command: ANALYSE\PRINT area 8.5 21.2 /OUTPUT serpens_h13cn10_int.txt
!
 135774     83.133     10.000  0.82821    
 135775     86.133     10.000   2.3755    
 135776     87.867     30.000   2.5401    
 135777     84.867     30.000  0.37121    
 135778     81.867     30.000   2.3613    
 135779     78.867     30.000   2.1585    
 135780     75.867     30.000 -0.42738    
 135781     72.867     30.000   1.2741    
 135782     69.867     30.000  -1.3468    
 135783     66.867     30.000   1.4589    
 135784     63.867     30.000   1.8475    
 135785     60.867     30.000  0.49150    
 135786     57.867     30.000  0.98858    
 135787     54.867     30.000   1.4035    
 135788     51.867     30.000   2.8427    
 135789     48.867     30.000   3.3565    
 135790     45.867     30.000   3.0443    
 135791     42.867     30.000   4.5783    
 135792     39.867     30.000  0.66898    
 135793     36.867     30.000  0.97665    
 135794     33.867     30.000   2.8692    
 135795     30.867     30.000   2.9204    
 135796     27.867     30.000   4.1756    
 135797     24.867     30.000   2.7218    
 135798     21.867     30.000   2.1419    
 135799     18.867     30.000   3.7239    
 135800     15.867     30.000   5.2472    
 135801     12.867     30.000   2.4290    
 135802      9.867     30.000   2.1194    
 135803      6.867     30.000   2.5799    
 135804      3.867     30.000   1.9779    
 135805      0.867     30.000  0.81777    
 135806     -2.133     30.000   3.0861    
 135807     -5.133     30.000   2.6116    
 135808     -8.133     30.000   4.0051    
 135809    -11.133     30.000   4.3346    
 135810    -14.133     30.000   4.0772    
 135811    -17.133     30.000  0.31457    
 135812    -20.133     30.000   3.0468    
 135813    -23.133     30.000   1.7247    
 135814    -26.133     30.000   1.6935    
 135815    -29.133     30.000   2.9667    
 135816    -32.133     30.000   1.0492    
 135817    -35.133     30.000   2.7768    
 135818    -38.133     30.000   1.8323    
 135819    -41.133     30.000   2.9939    
 135820    -44.133     30.000   1.5335    
